analysis	subset	quantity	estimate	ci2way_low	ci2way_high	cispk_low	cispk_high	n	note
P1	lexically_determined|env=other	mcc	0.11426	0.08219	0.14898	0.10021	0.13000	140341.00000	tp=1445;fn=4222;tn=123051;fp=11623;speakers=137;word_types=10372
P1	lexically_determined|env=other	agreement	0.88710	0.85755	0.91107	0.87889	0.89406	140341.00000	tp=1445;fn=4222;tn=123051;fp=11623;speakers=137;word_types=10372
P1	competing	verdict_BA_2way_CI_excludes_0.5	1.00000						BA=0.7940 [0.7330,0.8471]
composition	competing|mixed	n_ref_devoiced	22750.00000						
composition	competing|mixed	n_ref_voiced	12040.00000						
composition	competing|presence	n_ref_devoiced	11808.00000						
composition	competing|presence	n_ref_voiced	11751.00000						
composition	competing|symbol	n_ref_devoiced	733.00000						
composition	competing|symbol	n_ref_voiced	1272.00000						
composition	lexical|-	n_ref_devoiced	13942.00000						
composition	lexical|-	n_ref_voiced	136142.00000						
composition	competing|env=other	n	30657.00000						
composition	competing|env=voiceless_both	n	29697.00000						
composition	lexical|env=other	n	140341.00000						
composition	lexical|env=voiceless_both	n	9743.00000						
composition	competing	n_speakers	137.00000						
composition	competing	n_word_types	2781.00000						
P2	symbol	median_err_diff_wrong_minus_correct_ms	-1.60600	-4.34403	2.30396	-2.93910	0.14204	2005.00000	n_correct=1177;n_wrong=828;speakers=137;word_types=347;median_err_correct=9.37;median_err_wrong=7.78
P2	symbol	auc_err_predicts_wrong	0.47972	0.36645	0.59922	0.42588	0.54010	2005.00000	n_correct=1177;n_wrong=828;speakers=137;word_types=347;median_err_correct=9.37;median_err_wrong=7.78
P2	symbol	loso_auc_word_only_mean_within_speaker	0.80544			0.76850	0.83977	2005.00000	speakers_with_both_classes=129 of 137;target_encoding_m=5
P2	symbol	loso_auc_word_plus_err_mean_within_speaker	0.79714					2005.00000	speakers_with_both_classes=129 of 137;target_encoding_m=5
P2	symbol	loso_auc_increment	-0.00830			-0.02132	0.00423	2005.00000	speakers_with_both_classes=129 of 137;target_encoding_m=5;verdict=not_a_proxy(<0.02)
P2	symbol	loso_pooled_oof_auc_word_only	0.83326					2005.00000	
P2	symbol	loso_pooled_oof_auc_word_plus_err	0.83675					2005.00000	
P2	symbol	accuracy	0.58703					2005.00000	
P2	supp_symbol_or_mixed_vowel_present	median_err_diff_wrong_minus_correct_ms	20.14000	5.09245	24.05120	18.29346	21.90307	20524.00000	n_correct=11530;n_wrong=8994;speakers=137;word_types=1131;median_err_correct=7.24;median_err_wrong=27.38
P2	supp_symbol_or_mixed_vowel_present	auc_err_predicts_wrong	0.78626	0.65973	0.86384	0.76487	0.80592	20524.00000	n_correct=11530;n_wrong=8994;speakers=137;word_types=1131;median_err_correct=7.24;median_err_wrong=27.38
P2	supp_symbol_or_mixed_vowel_present	loso_auc_word_only_mean_within_speaker	0.79721			0.78388	0.80959	20524.00000	speakers_with_both_classes=137 of 137;target_encoding_m=5
P2	supp_symbol_or_mixed_vowel_present	loso_auc_word_plus_err_mean_within_speaker	0.86521					20524.00000	speakers_with_both_classes=137 of 137;target_encoding_m=5
P2	supp_symbol_or_mixed_vowel_present	loso_auc_increment	0.06800			0.05846	0.07722	20524.00000	speakers_with_both_classes=137 of 137;target_encoding_m=5;verdict=increment>=0.02
P2	supp_symbol_or_mixed_vowel_present	loso_pooled_oof_auc_word_only	0.78941					20524.00000	
P2	supp_symbol_or_mixed_vowel_present	loso_pooled_oof_auc_word_plus_err	0.87311					20524.00000	
P2	supp_symbol_or_mixed_vowel_present	accuracy	0.56178					20524.00000	
C5	case_control(200 draws)	balanced_accuracy_mean	0.69700			0.69369	0.69989	20796.00000	range over draws in ci columns;word_types=1089
C5	case_control(200 draws)	mcc_mean	0.39445			0.38786	0.40016	20796.00000	
C5	per_word_accuracy|n>=5	quantiles_10_25_50_75_90	0.87500					1157.00000	0.391;0.667;0.875;1.000;1.000
C5	per_word_accuracy|n>=5	token_weighted_accuracy	0.79566					57188.00000	
C5	per_word_accuracy|n>=5	token_weighted_majority_baseline	0.82411					57188.00000	
C5	per_word_accuracy|n>=5	share_words_acc_below_majority	0.29991					1157.00000	
C5	per_word_accuracy|n>=20	quantiles_10_25_50_75_90	0.89039					434.00000	0.500;0.741;0.890;0.980;1.000
C5	per_word_accuracy|n>=20	token_weighted_accuracy	0.79942					50229.00000	
C5	per_word_accuracy|n>=20	token_weighted_majority_baseline	0.82448					50229.00000	
C5	per_word_accuracy|n>=20	share_words_acc_below_majority	0.32028					434.00000	
C5	concentration	word_types_for_50pct_tokens	54.00000					60354.00000	of 2781 types
C5	concentration	word_types_for_80pct_tokens	349.00000					60354.00000	of 2781 types
C5	concentration	word_types_for_90pct_tokens	736.00000					60354.00000	of 2781 types
C5	concentration	top10_types_token_share	0.29902					60354.00000	
C5	concentration	types_with_1_token	750.00000					2781.00000	
P3	token_set	n_competing_in_B1_and_present_in_all	13567.00000						B1_status_not_competing=0;B1_prior_rerun_status_not_competing=1
P3	B1	agreement	0.78249			0.76095	0.80441	13567.00000	speakers=27
P3	B1	sensitivity	0.77881			0.75108	0.80733	13567.00000	speakers=27
P3	B1	specificity	0.78795			0.75544	0.81601	13567.00000	speakers=27
P3	B1	balanced_accuracy	0.78338			0.76184	0.80485	13567.00000	speakers=27
P3	B1	mcc	0.55876			0.51561	0.60263	13567.00000	speakers=27
P3	B1_prior_rerun	agreement	0.78286			0.76105	0.80436	13567.00000	speakers=27
P3	B1_prior_rerun	sensitivity	0.77967			0.75177	0.80819	13567.00000	speakers=27
P3	B1_prior_rerun	specificity	0.78758			0.75506	0.81568	13567.00000	speakers=27
P3	B1_prior_rerun	balanced_accuracy	0.78363			0.76202	0.80487	13567.00000	speakers=27
P3	B1_prior_rerun	mcc	0.55933			0.51564	0.60334	13567.00000	speakers=27
P3	B1_prior_rerun-minus-B1	share_decisions_changed	0.00140					13567.00000	n_changed=19
P3	B1_prior_rerun-minus-B1	delta_agreement	0.00037			-0.00030	0.00102	13567.00000	
P3	B1_prior_rerun-minus-B1	delta_balanced_accuracy	0.00025			-0.00036	0.00084	13567.00000	
P3	B1_prior_rerun-minus-B1	delta_sensitivity	0.00086			-0.00016	0.00190	13567.00000	
P3	B1_prior_rerun-minus-B1	delta_specificity	-0.00037			-0.00094	0.00000	13567.00000	
P3	B1_prior_rerun-minus-B1	delta_mcc	0.00057			-0.00066	0.00178	13567.00000	
P3	B1_prior_rerun-minus-B1	delta_agreement_minus_delta_BA	0.00012			0.00001	0.00021	13567.00000	
P3	B1_prior_rerun-minus-B1	share_decisions_changed|type=symbol	0.00000					535.00000	
P3	B1_prior_rerun-minus-B1	share_decisions_changed|type=presence	0.00079					5089.00000	
P3	B1_prior_rerun-minus-B1	share_decisions_changed|type=mixed	0.00189					7943.00000	
