analysis	subset	quantity	estimate	ci2way_low	ci2way_high	cispk_low	cispk_high	n	note
P1	competing|type=symbol+mixed	mcc	0.42556	0.27741	0.59457	0.40007	0.44984	36795.00000	tp=18010;fn=5473;tn=8851;fp=4461;speakers=137;word_types=1277
P1	competing|type=symbol+mixed	agreement	0.73002	0.65062	0.81675	0.71715	0.74212	36795.00000	tp=18010;fn=5473;tn=8851;fp=4461;speakers=137;word_types=1277
P1	lexically_determined	sensitivity	0.39650	0.31457	0.47654	0.38007	0.41466	150084.00000	tp=5528;fn=8414;tn=124212;fp=11930;speakers=137;word_types=11056
P1	lexically_determined	specificity	0.91237	0.88285	0.93486	0.90424	0.91879	150084.00000	tp=5528;fn=8414;tn=124212;fp=11930;speakers=137;word_types=11056
P1	lexically_determined	balanced_accuracy	0.65444	0.61953	0.68895	0.64682	0.66284	150084.00000	tp=5528;fn=8414;tn=124212;fp=11930;speakers=137;word_types=11056
P1	lexically_determined	mcc	0.27966	0.23003	0.32949	0.26691	0.29282	150084.00000	tp=5528;fn=8414;tn=124212;fp=11930;speakers=137;word_types=11056
P1	lexically_determined	agreement	0.86445	0.83445	0.89000	0.85632	0.87170	150084.00000	tp=5528;fn=8414;tn=124212;fp=11930;speakers=137;word_types=11056
P1	lexically_determined|env=voiceless_both	sensitivity	0.49341	0.39881	0.58161	0.47093	0.51581	9743.00000	tp=4083;fn=4192;tn=1161;fp=307;speakers=137;word_types=2495
P1	lexically_determined|env=voiceless_both	specificity	0.79087	0.70576	0.86223	0.75532	0.82651	9743.00000	tp=4083;fn=4192;tn=1161;fp=307;speakers=137;word_types=2495
P1	lexically_determined|env=voiceless_both	balanced_accuracy	0.64214	0.59401	0.68529	0.62402	0.66176	9743.00000	tp=4083;fn=4192;tn=1161;fp=307;speakers=137;word_types=2495
P1	lexically_determined|env=voiceless_both	mcc	0.20440	0.13588	0.27139	0.17463	0.23674	9743.00000	tp=4083;fn=4192;tn=1161;fp=307;speakers=137;word_types=2495
P1	lexically_determined|env=voiceless_both	agreement	0.53823	0.46709	0.60924	0.51822	0.55802	9743.00000	tp=4083;fn=4192;tn=1161;fp=307;speakers=137;word_types=2495
P1	lexically_determined|env=other	sensitivity	0.25499	0.19581	0.32172	0.23437	0.27953	140341.00000	tp=1445;fn=4222;tn=123051;fp=11623;speakers=137;word_types=10372
P1	lexically_determined|env=other	specificity	0.91370	0.88430	0.93693	0.90553	0.92016	140341.00000	tp=1445;fn=4222;tn=123051;fp=11623;speakers=137;word_types=10372
P1	lexically_determined|env=other	balanced_accuracy	0.58434	0.55737	0.61414	0.57444	0.59573	140341.00000	tp=1445;fn=4222;tn=123051;fp=11623;speakers=137;word_types=10372
P1	lexically_determined|env=other	mcc	0.11426	0.08219	0.14898	0.10021	0.13000	140341.00000	tp=1445;fn=4222;tn=123051;fp=11623;speakers=137;word_types=10372
P1	lexically_determined|env=other	agreement	0.88710	0.85755	0.91107	0.87889	0.89406	140341.00000	tp=1445;fn=4222;tn=123051;fp=11623;speakers=137;word_types=10372
P1	competing	verdict_BA_2way_CI_excludes_0.5	1.00000						BA=0.7940 [0.7330,0.8471]
